
[Name]
btm_1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-1.91666663e-03, -1.00000005e-03, -1.49999996e-05, 3.87640190e+01, 0.00000000e+00, -1.08333334e-01, -1.91666663e-03, -1.00000005e-03
-1.91666663e-03, -1.00000005e-03, 1.49999996e-05, 3.87640190e+01, 0.00000000e+00, -1.08333334e-01, -1.91666663e-03, -1.00000005e-03
-1.83333328e-03, -1.00000005e-03, -1.49999996e-05, 6.16631317e+01, 0.00000000e+00, -1.16666660e-01, -1.83333328e-03, -1.00000005e-03
-1.83333328e-03, -1.00000005e-03, 1.49999996e-05, 6.16631317e+01, 0.00000000e+00, -1.16666660e-01, -1.83333328e-03, -1.00000005e-03
-1.75000005e-03, -1.00000005e-03, -1.49999996e-05, 8.57500610e+01, 0.00000000e+00, -1.25000000e-01, -1.75000005e-03, -1.00000005e-03
-1.75000005e-03, -1.00000005e-03, 1.49999996e-05, 8.57500610e+01, 0.00000000e+00, -1.25000000e-01, -1.75000005e-03, -1.00000005e-03
-1.66666671e-03, -1.00000005e-03, -1.49999996e-05, 1.10859177e+02, 0.00000000e+00, -1.33333325e-01, -1.66666671e-03, -1.00000005e-03
-1.66666671e-03, -1.00000005e-03, 1.49999996e-05, 1.10859177e+02, 0.00000000e+00, -1.33333325e-01, -1.66666671e-03, -1.00000005e-03
-1.58333336e-03, -1.00000005e-03, -1.49999996e-05, 1.36938675e+02, 0.00000000e+00, -1.41666666e-01, -1.58333336e-03, -1.00000005e-03
-1.58333336e-03, -1.00000005e-03, 1.49999996e-05, 1.36938675e+02, 0.00000000e+00, -1.41666666e-01, -1.58333336e-03, -1.00000005e-03
-1.50000001e-03, -1.00000005e-03, -1.49999996e-05, 1.63885651e+02, 0.00000000e+00, -1.50000006e-01, -1.50000001e-03, -1.00000005e-03
-1.50000001e-03, -1.00000005e-03, 1.49999996e-05, 1.63885651e+02, 0.00000000e+00, -1.50000006e-01, -1.50000001e-03, -1.00000005e-03
-1.41666667e-03, -1.00000005e-03, -1.49999996e-05, 1.91572998e+02, 0.00000000e+00, -1.58333331e-01, -1.41666667e-03, -1.00000005e-03
-1.41666667e-03, -1.00000005e-03, 1.49999996e-05, 1.91572998e+02, 0.00000000e+00, -1.58333331e-01, -1.41666667e-03, -1.00000005e-03
-1.33333332e-03, -1.00000005e-03, -1.49999996e-05, 2.19800903e+02, 0.00000000e+00, -1.66666657e-01, -1.33333332e-03, -1.00000005e-03
-1.33333332e-03, -1.00000005e-03, 1.49999996e-05, 2.19800903e+02, 0.00000000e+00, -1.66666657e-01, -1.33333332e-03, -1.00000005e-03
-1.24999997e-03, -1.00000005e-03, -1.49999996e-05, 2.48438721e+02, 0.00000000e+00, -1.74999997e-01, -1.24999997e-03, -1.00000005e-03
-1.24999997e-03, -1.00000005e-03, 1.49999996e-05, 2.48438721e+02, 0.00000000e+00, -1.74999997e-01, -1.24999997e-03, -1.00000005e-03
